,Tourism_asset_id,Tourism_asset,type,address,TripAdvisor_link,significance_clusters,significance_ranking,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,CDUID,CD,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
10,10,Lynn Canyon Park,"Bridges, State Parks, Nature & Parks, Sights & Landmarks, More","North Vancouver, British Columbia V7J 1Y6, ",https://www.tripadvisor.ca/Attraction_Review-g181717-d185025-Reviews-Lynn_Canyon_Park-North_Vancouver_British_Columbia.html,0,5,1652,4.5,6869,49.34421,-123.01861,485439.5263,1216759.491,North Vancouver,5915046,5939,Columbia-Shuswap,44860,27325,26060,1270,630,45,27800,35743,507,Vancouver International Airport,49.194722,-123.18388,Richmond,29390,44 mins,44,812203,North Vancouver Visitor Centre,49.310408,-123.08112,North Vancouver,8037,15 mins,15,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,5568,13 mins,13,5177,12 mins,12,1105,49.320183,-123.06685,STN 256 NORTH VANCOUVER,North Vancouver,2355,6 mins,6,1656,49.334711,-123.04352,NORTH VANCOUVER HALL 1 LYNN VALLEY,North Vancouver,2176,6 mins,6,1911,49.3344,-123.03928,LYNN VALLEY COMMUNITY POLICING,North Vancouver,2,11,17,6,142,60,116,200,118,47,72,87,215,242,352
11,11,Myra Canyon Park,"Canyons, State Parks, Nature & Parks","Kelowna, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154933-d2233786-Reviews-Myra_Canyon_Park-Kelowna_Okanagan_Valley_British_Columbia.html,2,3,1061,5,106,49.78843,-119.31113,552998.8858,1481070.226,Central Okanagan,5935012,5931,Squamish-Lillooet,3975,2255,2135,120,15,15,27553,32925,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,31334,52 mins,52,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,25587,43 mins,43,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,23227,40 mins,40,24366,42 mins,42,1081,49.890295,-119.41549,STN 341 KELOWNA-MILLS ROAD,Kelowna,15206,29 mins,29,1688,49.841446,-119.41025,KELOWNA FIRE DEPT HALL 7,Kelowna,21525,37 mins,37,2028,49.861626,-119.4678,KLO COMMUNITY POLICING,Kelowna,0,2,7,2,17,6,22,29,27,8,89,41,95,98,174
12,12,Whistler Mountain Bike Park,"Mountains, Biking Trails, Sports Complexes, Fun & Games, Outdoor Activities, Nature & Parks, More","Whistler, British Columbia V0N 1B4, ",https://www.tripadvisor.ca/Attraction_Review-g154948-d489755-Reviews-Whistler_Mountain_Bike_Park-Whistler_British_Columbia.html,1,2,434,5,1484,50.112526,-122.95404,570986.9529,1217776.614,Whistler,5931020,5915,Greater Vancouver,9245,6925,6555,365,60,20,29550,39221,507,Vancouver International Airport,49.194722,-123.18388,Richmond,134839,2 hours 1 min,121,812212,Whistler Visitor Centre,50.11596,-122.95584,Whistler,858,3 mins,3,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,119156,1 hour 31 mins,91,2265,5 mins,5,1187,50.122201,-122.96066,STN 224 WHISTLER,Whistler,949,3 mins,3,1569,50.116456,-122.95424,WHISTLER FIRE DEPT HALL 1,Whistler,1058,3 mins,3,1866,50.11671,-122.9541,WHISTLER RCMP,Whistler,0,4,4,0,15,0,20,12,18,5,8,11,58,82,109
13,13,Emerald Lake,"Bodies of Water, Nature & Parks","Yoho National Park, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1761683-d155619-Reviews-Emerald_Lake-Yoho_National_Park_Kootenay_Rockies_British_Columbia.html,3,1,749,5,379,51.439682,-116.54097,757872.638,1654803.985,Columbia-Shuswap A,5939011,5915,Greater Vancouver,3095,1910,1855,55,15,40,23552,30621,627,Salmon Arm Airport,50.682777,-119.22861,Salmon Arm,312567,3 hours 35 mins,215,812398,British Columbia Visitor Centre @ Golden,51.301981,-116.95418,Golden,61117,45 mins,45,34,Revelstoke,50.9924735,-118.1921284,Revelstoke,8213,33,208142,2 hours 21 mins,141,11474,13 mins,13,1056,51.396275,-116.48646,STN 409 FIELD,Columbia-Shuswap A,11568,14 mins,14,1329,51.39542,-116.48694,FIELD VOL FIRE DEPT,Columbia-Shuswap A,63990,49 mins,49,1787,51.317275,-116.97784,GOLDEN RCMP,Golden,0,2,1,0,0,0,0,0,1,0,0,0,2,6,15
14,14,Long Beach,"Beaches, Outdoor Activities, Nature & Parks","Tofino, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d1047736-Reviews-Long_Beach-Tofino_Clayoquot_Sound_Vancouver_Island_British_Columbia.html,1,2,931,4.5,563,49.07112,-125.76659,450561.6013,1017074.906,Alberni-Clayoquot C,5923049,5915,Greater Vancouver,400,260,250,10,0,10,27665,30652,483,Tofino/Long Beach Airport,49.082222,-125.7725,Alberni-Clayoquot C,2328,5 mins,5,812184,Ucluelet Visitor Centre,49.042819,-125.67398,Alberni-Clayoquot C,7928,7 mins,7,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,107945,1 hour 32 mins,92,14207,14 mins,14,1194,49.139009,-125.8907,STN 136 TOFINO,Tofino,16423,18 mins,18,1219,49.152779,-125.90634,TOFINO FIRE DEPT,Tofino,16256,17 mins,17,1855,49.152766,-125.90399,TOFINO RCMP,Tofino,0,2,1,0,3,0,12,14,1,1,2,80,83,98,123
15,15,Joffre Lakes Provincial Park,Nature & Parks,"Pemberton, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g183736-d2368465-Reviews-Joffre_Lakes_Provincial_Park-Pemberton_British_Columbia.html,3,1,299,5,322,50.35274,-122.48307,599241.7164,1250096.399,Squamish-Lillooet C,5931017,5915,Greater Vancouver,1885,1280,1195,85,25,45,22551,28632,507,Vancouver International Airport,49.194722,-123.18388,Richmond,196461,2 hours 56 mins,176,812204,Pemberton Visitor Centre,50.314868,-122.75725,Pemberton,27408,29 mins,29,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,180778,2 hours 25 mins,145,30370,30 mins,30,1118,50.320005,-122.80418,STN 219 PEMBERTON,Pemberton,31165,33 mins,33,1448,50.321247,-122.81054,PEMBERTON FIRE DEPT,Pemberton,31032,33 mins,33,1825,50.32077,-122.80859,PEMBERTON RCMP,Pemberton,0,1,0,0,1,0,0,0,1,0,1,4,6,15,19
16,16,Capilano Suspension Bridge Park,"Bridges, Sights & Landmarks, Nature & Parks","North Vancouver, British Columbia V7R 4J1, ",https://www.tripadvisor.ca/Attraction_Review-g181717-d156257-Reviews-Capilano_Suspension_Bridge_Park-North_Vancouver_British_Columbia.html,0,5,6900,4.5,7748,49.342873,-123.11433,485002.6895,1209810.221,North Vancouver,5915046,5915,Greater Vancouver,44860,27325,26060,1270,630,45,27800,35743,507,Vancouver International Airport,49.194722,-123.18388,Richmond,22630,40 mins,40,812203,North Vancouver Visitor Centre,49.310408,-123.08112,North Vancouver,6168,12 mins,12,61,North Vancouver (City),49.32000409,-123.0740463,North Vancouver,44944,15,5807,9 mins,9,6162,7 mins,7,1185,49.331461,-123.15791,STN 255 WEST VANCOUVER,West Vancouver,3165,7 mins,7,1660,49.321813,-123.10876,NORTH VANCOUVER HALL 5 NORGATE,North Vancouver,1785,4 mins,4,1909,49.33734,-123.10038,EDGEMONT COMMUNITY POLICING,North Vancouver,2,12,17,6,138,59,114,202,113,45,75,89,212,234,356
17,17,VanDusen Botanical Garden,"Gardens, Nature & Parks","Vancouver, British Columbia V6M 4H1, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d184433-Reviews-VanDusen_Botanical_Garden-Vancouver_British_Columbia.html,0,5,1439,4.5,7413,49.23936,-123.13139,473459.6997,1209036.464,Vancouver,5915022,5939,Columbia-Shuswap,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,8618,15 mins,15,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,7210,18 mins,18,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,4521,12 mins,12,1219,4 mins,4,1174,49.245088,-123.12599,STN 283 VANCOUVER ITT,Vancouver,781,3 mins,3,1653,49.237281,-123.13646,VANCOUVER CITY FIRE DEPT HALL 18,Vancouver,1538,5 mins,5,1952,49.234026,-123.11661,KERRISDALE OAKRIDGE MARPOLE COMMUNITY POLICING,Vancouver,2,11,17,6,141,60,116,204,116,47,73,88,213,243,361
18,18,English Bay,"Bodies of Water, Nature & Parks","Vancouver, British Columbia V6G 1Y9, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d156265-Reviews-English_Bay-Vancouver_British_Columbia.html,0,5,2206,4.5,8043,49.28648,-123.14221,478659.1397,1208037.139,Vancouver,5915022,5933,Thompson-Nicola,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,14632,26 mins,26,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,2579,10 mins,10,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,4041,10 mins,10,1694,5 mins,5,2023,49.281236,-123.12903,ANNEX 242 ST. PAULS HOSPITAL,Vancouver,900,3 mins,3,1598,49.286524,-123.13465,VANCOUVER CITY FIRE DEPT HALL 6,Vancouver,625,2 mins,2,1938,49.290454,-123.13648,WEST END COMMUNITY POLICING,Vancouver,2,12,17,6,139,59,116,205,114,45,76,90,217,239,367
19,19,Queen Elizabeth Park,"Gardens, Nature & Parks","Vancouver, British Columbia V5Y 2M4, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d156254-Reviews-Queen_Elizabeth_Park-Vancouver_British_Columbia.html,0,5,1675,4.5,7487,49.24226,-123.11427,473832.3492,1210270.184,Vancouver,5915022,5921,Nanaimo,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,11098,19 mins,19,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,6768,18 mins,18,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,4168,12 mins,12,3449,9 mins,9,1174,49.245088,-123.12599,STN 283 VANCOUVER ITT,Vancouver,2879,8 mins,8,1649,49.248886,-123.08801,VANCOUVER CITY FIRE DEPT HALL 13,Vancouver,1459,4 mins,4,1930,49.245204,-123.10098,LITTLE MOUNTAIN / RILEY PARK COMMUNITY POLICING,Vancouver,2,11,17,6,141,60,116,205,117,47,74,88,214,245,362
20,20,Vancouver Aquarium,"Educational sites, Nature & Parks, Sights & Landmarks, Zoos & Aquariums","Vancouver, British Columbia V6B 3X8, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d155848-Reviews-Vancouver_Aquarium-Vancouver_British_Columbia.html,0,5,6445,4.5,8262,49.300446,-123.13115,480242.2916,1208778.956,Vancouver,5915022,5935,Central Okanagan,571600,330480,310640,19840,11055,470,23682,36605,507,Vancouver International Airport,49.194722,-123.18388,Richmond,16910,35 mins,35,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,2929,10 mins,10,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,5183,15 mins,15,3479,13 mins,13,2023,49.281236,-123.12903,ANNEX 242 ST. PAULS HOSPITAL,Vancouver,2325,8 mins,8,1598,49.286524,-123.13465,VANCOUVER CITY FIRE DEPT HALL 6,Vancouver,1662,6 mins,6,1938,49.290454,-123.13648,WEST END COMMUNITY POLICING,Vancouver,2,12,17,6,139,59,116,204,114,45,76,90,216,238,363
21,21,Takakkaw Falls,"National Parks, Waterfalls, Nature & Parks","Yoho National Park, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g1761683-d546275-Reviews-Takakkaw_Falls-Yoho_National_Park_Kootenay_Rockies_British_Columbia.html,3,1,558,4.5,357,51.50006,-116.47413,765159.6227,1658500.623,Columbia-Shuswap A,5939011,5915,Greater Vancouver,3095,1910,1855,55,15,40,23552,30621,627,Salmon Arm Airport,50.682777,-119.22861,Salmon Arm,322143,3 hours 47 mins,227,812398,British Columbia Visitor Centre @ Golden,51.301981,-116.95418,Golden,70693,58 mins,58,34,Revelstoke,50.9924735,-118.1921284,Revelstoke,8213,33,217717,2 hours 34 mins,154,17821,24 mins,24,1056,51.396275,-116.48646,STN 409 FIELD,Columbia-Shuswap A,17915,24 mins,24,1329,51.39542,-116.48694,FIELD VOL FIRE DEPT,Columbia-Shuswap A,73566,1 hour 1 min,61,1787,51.317275,-116.97784,GOLDEN RCMP,Golden,0,2,1,0,0,0,0,0,1,0,0,0,1,4,15
22,22,Helmcken Falls,"Waterfalls, Nature & Parks","Clearwater, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g182209-d254960-Reviews-Helmcken_Falls-Clearwater_British_Columbia.html,3,1,593,4.5,81,51.956688,-120.18161,788076.4218,1398795.716,Thompson-Nicola A (Wells Gray Country),5933068,5917,Capital,,,,,,,,,0,,0,0,,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
23,23,Cathedral Grove,"Forests, Nature & Parks","Port Alberni, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181778-d155850-Reviews-Cathedral_Grove-Port_Alberni_Vancouver_Island_British_Columbia.html,1,2,586,4.5,158,49.29079,-124.661575,475859.5544,1097444.278,Nanaimo F,5921032,5939,Columbia-Shuswap,6675,3875,3545,330,60,100,20242,27740,530,Qualicum Beach Airport,49.337222,-124.39388,Qualicum Beach,24889,22 mins,22,812179,Qualicum Beach Visitor Centre,49.355971,-124.44004,Qualicum Beach,23130,21 mins,21,71,Port Alberni,49.25064062,-124.8083803,Port Alberni,19329,22,19301,18 mins,18,21988,18 mins,18,1134,49.343724,-124.44963,STN 138 QUALICUM BEACH,Qualicum Beach,14291,11 mins,11,1734,49.307169,-124.48707,COOMBS HILLIERS VOL FIRE HALL 2,Nanaimo F,22178,20 mins,20,1949,49.348002,-124.44405,QUALICUM BEACH COMMUNITY POLICING,Qualicum Beach,0,2,2,0,2,0,15,33,3,1,12,9,16,27,97
