,Tourism_asset,Accessbility_Assignments,Accessbility_Value,Tourism_asset_id,type,address,TripAdvisor_link,number_of_reviews,rating,Instagram_count,Tourism_asset_lat,Tourism_asset_lon,Tourism_asset_lat_BC_albers,Tourism_asset_lon_BC_albers,CSD,CSDUID,Total_population_CSD,Workforce_CSD,Employed_CSD,Unemployed_CSD,Occupations_art_culture_CSD,Occupations_natural_resources_CSD,Median_income_2005_CSD,Average_income_2005_CSD,Airport_id,Airport_name,Airport_lat,Airport_lon,Airport_CSD,Distance_meter_airport,Duration_min_airport,Duration_min_num_airport,Visitor_centre_id,vc_name,vc_lat,vc_lon,vc_CSD,Distance_meter_vc,Duration_min_vc,Duration_min_num_vc,City_id,City_name,City_lat,City_lon,City_CSD,City_Pop_2000,City_Pop_Rank,Distance_meter_city,Duration_min_city,Duration_min_num_city,Distance_meter_ambulance,Duration_min_ambulance,Duration_min_num_ambulance,First_responder_id_ambulance,First_responder_lat_ambulance,First_responder_lon_ambulance,First_responder_name_ambulance,First_responder_CSD_ambulance,Distance_meter_fire,Duration_min_fire,Duration_min_num_fire,First_responder_id_fire,First_responder_lat_fire,First_responder_lon_fire,First_responder_name_fire,First_responder_CSD_fire,Distance_meter_police,Duration_min_police,Duration_min_num_police,First_responder_id_police,First_responder_lat_police,First_responder_lon_police,First_responder_name_police,First_responder_CSD_police,events_10km,traveller_resources_10km,classes_workshops_10km,casinos_10km,nightlife_10km,concerts_shows_10km,spas_wellness_10km,shopping_10km,fun_games_10km,transportation_10km,food_drinks_10km,boat_tours_10km,tours_10km,outdoor_activities_10km,hotels_10km
10,Chilliwack Antique Powerland Pioneer Village,2,5,4059,"History Museums, Speciality Museums, Museums","Chilliwack, British Columbia V2R 4A7, ",https://www.tripadvisor.ca/Attraction_Review-g154927-d11150252-Reviews-Chilliwack_Antique_Powerland_Pioneer_Village-Chilliwack_British_Columbia.html,2,4.5,442,49.14361,-122.00167,466831.0781,1291884.83,Chilliwack,5909020,68670,35255,33390,1870,245,145,24726,31776,506,Chilliwack Airport,49.152777,-121.93888,Chilliwack,6025,5 mins,5,812193,Chilliwack Visitor Centre,49.143881,-122.00377,Chilliwack,157,1 min,0,166,Chilliwack,49.14529041,-121.9577287,Chilliwack,65421,12,3797,7 mins,7,6261,8 mins,8,1039,49.157119,-121.95129,STN 206 CHILLIWACK,Chilliwack,5328,7 mins,7,1732,49.119895,-122.04611,CHILLIWACK FIRE HALL 6 GREENDALE,Chilliwack,5833,7 mins,7,1879,49.154397,-121.95363,SOUTHWEST DISTRICT OCC,Chilliwack,0,4,3,0,11,3,11,34,16,2,9,26,33,60,81
11,The CN Station,2,5,1721,"Points of Interest & Landmarks, Historic Sites, Sights & Landmarks","Fort Langley, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154930-d12615394-Reviews-The_CN_Station-Fort_Langley_Langley_British_Columbia.html,1,4,691,49.170307,-122.5783,467587.247,1249682.121,Langley,5915001,23340,12800,12160,640,105,10,25758,31747,487,Boundary Bay Airport,49.073888,-123.0075,Delta,37536,46 mins,46,812401,Langley Visitor Centre,49.146232,-122.66767,Langley,8958,14 mins,14,55,Langley (City),49.10476067,-122.6577932,Langley,24287,18,9737,15 mins,15,7809,11 mins,11,1113,49.170984,-122.66557,STN 267 NORTH LANGLEY,Langley,500,2 mins,2,1566,49.169984,-122.58194,LANGLEY TOWNSHIP FIRE DEPT HALL 2,Langley,5199,9 mins,9,1907,49.163181,-122.63989,WALNET GROVE-FORT LANGLEY,Langley,0,9,6,6,43,16,30,54,62,7,30,16,39,96,140
12,Swan Lake Bird Sanctuary,0,4,1575,"Scenic Walking Areas, Sights & Landmarks","Princeton, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g181776-d10683460-Reviews-Swan_Lake_Bird_Sanctuary-Princeton_British_Columbia.html,5,5,32,49.48099,-120.48583,511640.0962,1399433.429,Princeton,5907024,2635,1205,1060,145,0,45,18703,27500,544,Penticton Regional Airport,49.4625,-119.60222,Penticton,109764,1 hour 17 mins,77,812251,Princeton Visitor Centre,49.459828,-120.50747,Princeton,3272,4 mins,4,6,Merritt,50.12412142,-120.8293313,Thompson-Nicola M,8075,34,94551,1 hour 10 mins,70,5109,7 mins,7,1133,49.453787,-120.52757,STN 330 PRINCETON,Princeton,3410,4 mins,4,1461,49.457956,-120.50949,PRINCETON FIRE DEPT,Princeton,4107,6 mins,6,1834,49.461613,-120.49894,PRINCETON RCMP,Princeton,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
13,Arrowstone Provincial Park,2,5,1319,Nature & Parks,"Cache Creek, British Columbia V0K 1H0, ",https://www.tripadvisor.ca/Attraction_Review-g499122-d6353392-Reviews-Arrowstone_Provincial_Park-Cache_Creek_British_Columbia.html,0,0,30,50.80975,-121.32491,654765.8613,1328993.677,Cache Creek,5933024,1040,510,465,45,0,10,17051,26025,623,Kamloops Airport,50.7025,-120.44861,Kamloops,93404,1 hour 9 mins,69,814217,Cache Creek Tourist/Visitor Info Booth,50.813105,-121.32094,Cache Creek,594,1 min,1,36,Kamloops,50.65605598,-120.3639002,Kamloops,82832,8,78851,49 mins,49,9609,8 mins,8,1025,50.73557,-121.27688,STN 303 ASHCROFT,Ashcroft,380,1 min,1,1280,50.810888,-121.32331,CACHE CREEK VOL FIRE DEPT,Cache Creek,9710,9 mins,9,1753,50.73367,-121.28104,ASHCROFT RCMP,Ashcroft,0,2,1,0,1,0,0,1,0,0,0,0,1,4,17
14,Hot Springs Cove,0,4,72,"Hot Springs & Geysers, Nature & Parks","Tofino, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154942-d317675-Reviews-Hot_Springs_Cove-Tofino_Clayoquot_Sound_Vancouver_Island_British_Columbia.html,424,4.5,45,49.34985,-126.25992,481535.454,981099.4863,Alberni-Clayoquot C,5923049,400,260,250,10,0,10,27665,30652,0,,0,0,,0,,0,0,,0,0,,0,,0,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,,0,,0,0,0,0,,,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
15,UBC Rose Garden,5,5,590,"Gardens, Nature & Parks","Vancouver, British Columbia V6T 1Z2, ",https://www.tripadvisor.ca/Attraction_Review-g154943-d10626558-Reviews-UBC_Rose_Garden-Vancouver_British_Columbia.html,10,4,6999,49.26946,-123.256584,476440.0009,1199788.637,Greater Vancouver A,5915020,10930,5600,5160,440,110,0,19591,40779,507,Vancouver International Airport,49.194722,-123.18388,Richmond,18734,28 mins,28,812211,Vancouver Visitor Centre,49.287673,-123.1153,Vancouver,11777,23 mins,23,63,Vancouver,49.26807895,-123.1140832,Vancouver,565905,1,10977,20 mins,20,1939,5 mins,5,1172,49.263651,-123.24385,STN 262 VANCOUVER-UBC,Greater Vancouver A,3727,6 mins,6,1594,49.258902,-123.23821,VANCOUVER CITY FIRE DEPT HALL 10,Greater Vancouver A,3784,6 mins,6,1860,49.258998,-123.23843,UNIVERSITY RCMP (UBC),Greater Vancouver A,2,12,17,5,134,57,109,200,103,44,77,88,213,226,351
16,Save-On-Foods Memorial Centre,2,5,1442,"Arenas & Stadiums, Sights & Landmarks","Victoria, British Columbia V8T 4J2, ",https://www.tripadvisor.ca/Attraction_Review-g154945-d2633482-Reviews-Save_On_Foods_Memorial_Centre-Victoria_Victoria_Capital_Regional_District_Vancouv.html,74,4,1978,48.431458,-123.36087,383164.2236,1195665.8,Victoria,5917034,75390,45270,42960,2310,1290,115,24651,32322,464,Victoria International Airport,48.646944,-123.42583,North Saanich,25675,29 mins,29,812186,Victoria Visitor Centre,48.422869,-123.37023,Victoria,1578,6 mins,6,70,Victoria,48.42774286,-123.360174,Victoria,74996,11,529,2 mins,2,2200,8 mins,8,1179,48.420922,-123.37429,ANNEX 118 VICTORIA-FAIRFIELD,Victoria,837,3 mins,3,1575,48.435924,-123.36601,VICTORIA FIRE DEPT HALL 3,Victoria,197,1 min,1,1897,48.431074,-123.3599,VICTORIA,Victoria,0,5,8,1,25,14,39,93,32,22,40,67,146,139,197
17,Desert Hills Ranch,2,5,1555,"Ranches, Sights & Landmarks","Ashcroft, British Columbia V0K 1A0, ",https://www.tripadvisor.ca/Attraction_Review-g666346-d4590960-Reviews-Desert_Hills_Ranch-Ashcroft_British_Columbia.html,12,4.5,40,50.724422,-121.28012,645496.0103,1332773.901,Ashcroft,5933019,1655,715,645,75,25,15,21460,31596,623,Kamloops Airport,50.7025,-120.44861,Kamloops,104085,1 hour 18 mins,78,814217,Cache Creek Tourist/Visitor Info Booth,50.813105,-121.32094,Cache Creek,11405,11 mins,11,36,Kamloops,50.65605598,-120.3639002,Kamloops,82832,8,89532,58 mins,58,1934,3 mins,3,1025,50.73557,-121.27688,STN 303 ASHCROFT,Ashcroft,73,1 min,0,1252,50.72367,-121.27942,ASHCROFT FIRE DEPT,Ashcroft,1236,3 mins,2,1753,50.73367,-121.28104,ASHCROFT RCMP,Ashcroft,0,2,1,0,1,0,0,1,0,0,0,0,1,4,16
18,Tom Kelly Memorial Park,0,4,1088,Nature & Parks,"Golden, British Columbia V0A 1H0, ",https://www.tripadvisor.ca/Attraction_Review-g181785-d7139654-Reviews-Tom_Kelly_Memorial_Park-Golden_Kootenay_Rockies_British_Columbia.html,1,3,6,51.41658,-117.01913,751007.6962,1622211.427,Columbia-Shuswap A,5939011,3095,1910,1855,55,15,40,23552,30621,627,Salmon Arm Airport,50.682777,-119.22861,Salmon Arm,242767,2 hours 45 mins,165,812398,British Columbia Visitor Centre @ Golden,51.301981,-116.95418,Golden,16296,14 mins,14,34,Revelstoke,50.9924735,-118.1921284,Revelstoke,8213,33,138342,1 hour 31 mins,91,17276,17 mins,17,1067,51.297979,-116.96811,STN 413 GOLDEN,Golden,17059,16 mins,16,1345,51.293996,-116.96174,GOLDEN FIRE DEPT,Golden,13881,13 mins,13,1787,51.317275,-116.97784,GOLDEN RCMP,Golden,0,0,0,0,3,0,7,2,6,0,1,5,12,35,58
19,Balance Rock,3,3,567,"Nature & Wildlife Areas, Nature & Parks","Skidegate, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g4300739-d8765844-Reviews-Balance_Rock-Skidegate_Graham_Island_Haida_Gwaii_Queen_Charlotte_Islands_British.html,12,4.5,30,53.27237,-131.98209,935222.1481,602395.2084,Skidegate 1,5947804,0,365,315,55,0,25,17216,23500,675,Sandspit Airport,53.254166,-131.81388,Skeena-Queen Charlotte E,23356,57 mins,57,812298,Queen Charlotte Visitor Centre,53.257768,-132.10312,Queen Charlotte,11310,16 mins,16,20,Prince Rupert,54.27185405,-130.2717334,Prince Rupert,17027,24,211856,9 hours 20 mins,560,8976,12 mins,12,1137,53.254074,-132.07081,STN 687 QUEEN CHARLOTTE ISLAND,Queen Charlotte,1331,2 mins,2,1499,53.263989,-131.9939,SKIDEGATE VOL FIRE DEPT,Skidegate 1,1307,2 mins,2,1993,53.263963,-131.99532,SKIDEGATE COMMUNITY POLICING,Skidegate 1,0,3,0,0,1,0,0,1,0,0,0,12,12,15,20
20,Rose Valley Regional Park,2,5,736,Nature & Parks,"Kelowna, British Columbia V1W 3Z4, ",https://www.tripadvisor.ca/Attraction_Review-g154933-d4521428-Reviews-Rose_Valley_Regional_Park-Kelowna_Okanagan_Valley_British_Columbia.html,5,5,1108,49.861782,-119.467606,560070.1668,1469097.038,Kelowna,5935010,105170,57300,54525,2770,595,215,25134,33647,583,Kelowna International Airport,49.957222,-119.37777,Kelowna,14190,19 mins,19,812196,Kelowna Visitor Centre,49.88366,-119.49189,Kelowna,4076,7 mins,7,38,Kelowna,49.879864,-119.4394353,Kelowna,100433,7,3657,5 mins,5,4948,10 mins,10,1082,49.885162,-119.49758,STN 340 KELOWNA-LAWRENCE,Kelowna,3983,6 mins,6,1370,49.8829,-119.43564,KELOWNA FIRE DEPT HALL 1,Kelowna,14,1 min,0,2028,49.861626,-119.4678,KLO COMMUNITY POLICING,Kelowna,0,3,7,2,18,6,22,32,27,8,96,41,103,103,171
21,Selkirk Mountains,3,3,1012,"Mountains, Nature & Parks","British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g154922-d268833-Reviews-Selkirk_Mountains-British_Columbia.html,1,5,34,54.136696,-124.63623,1015723.438,1088888.476,Bulkley-Nechako D,5951017,1665,870,755,110,10,85,20216,30779,709,Smithers Airport,54.825277,-127.18277,Smithers,255502,3 hours 12 mins,192,812295,Fort St James Visitor Centre,54.439783,-124.25146,Fort St. James,54671,1 hour 6 mins,66,24,Prince George,53.91032183,-122.7091287,Prince George,81326,9,164521,2 hours 12 mins,132,36882,41 mins,41,1060,54.059362,-124.84863,STN 763 FRASER LAKE,Fraser Lake,22842,29 mins,29,1332,54.062553,-124.55186,FORT FRASER VOL FIRE DEPT,Bulkley-Nechako D,35951,39 mins,39,1782,54.055932,-124.84162,FRASER LAKE RCMP,Fraser Lake,0,0,0,0,0,0,0,0,0,0,0,1,1,7,4
22,Fiddlehead Nursery,0,4,1668,"Farms, Sights & Landmarks","Kimberley, British Columbia N0C 1G0, ",https://www.tripadvisor.ca/Attraction_Review-g182146-d12496911-Reviews-Fiddlehead_Nursery-Kimberley_Kootenay_Rockies_British_Columbia.html,1,5,94,49.68706,-116.00255,569858.4386,1719292.856,Kimberley,5901028,6040,3250,3035,215,15,40,22253,29768,580,Cranbrook/Canadian Rockies International Airport,49.612222,-115.78194,Cranbrook,24840,25 mins,25,812283,Kimberley Visitor Centre,49.68608,-115.98533,Kimberley,2526,4 mins,4,46,Kimberley,49.67531114,-115.9873367,Kimberley,6976,37,2201,4 mins,4,2958,5 mins,5,1084,49.684301,-115.98088,STN 414 KIMBERLEY,Kimberley,2598,5 mins,5,1374,49.685218,-115.98181,KIMBERLEY FIRE DEPT,Kimberley,3467,6 mins,6,1798,49.674432,-115.97869,KIMBERLEY RCMP,Kimberley,0,1,0,1,1,2,0,3,7,0,1,3,5,19,40
23,Uncha Mountain Red Hills Provincial Park,3,3,1292,"Mountains, Nature & Parks","Burns Lake, British Columbia, ",https://www.tripadvisor.ca/Attraction_Review-g499121-d6434582-Reviews-Uncha_Mountain_Red_Hills_Provincial_Park-Burns_Lake_British_Columbia.html,0,0,2,54.019062,-125.74832,1001767.323,1016451.78,Bulkley-Nechako E,5951031,1790,1010,900,105,0,75,25119,30237,709,Smithers Airport,54.825277,-127.18277,Smithers,177719,2 hours 34 mins,154,812276,Burns Lake Visitor Centre,54.232176,-125.76264,Burns Lake,28609,50 mins,50,24,Prince George,53.91032183,-122.7091287,Prince George,81326,9,259412,3 hours 30 mins,210,6533,7 mins,7,1999,53.989709,-125.79244,STN 773 SOUTHSIDE,Bulkley-Nechako E,2058,3 mins,3,1509,54.022718,-125.76982,SOUTHSIDE FIRE DEPT,Bulkley-Nechako E,28048,48 mins,48,1761,54.224321,-125.75612,BURNS LAKE RCMP,Burns Lake,0,1,0,0,1,0,0,1,0,0,0,1,2,1,5
24,Albert Dyck Park,2,5,615,"Bodies of Water, Nature & Parks","Abbotsford, British Columbia V2T 5X2, ",https://www.tripadvisor.ca/Attraction_Review-g181725-d10024766-Reviews-Albert_Dyck_Park-Abbotsford_British_Columbia.html,12,4,270,49.02394,-122.351814,452175.0653,1267032.192,Abbotsford,5909052,122175,65645,62025,3620,380,135,22990,31051,484,Abbotsford International Airport,49.025277,-122.36055,Abbotsford,2035,3 mins,3,812188,Abbotsford Visitor Centre,49.036651,-122.26672,Abbotsford,8634,8 mins,8,53,Abbotsford,49.05461205,-122.1834292,Upper Sumas 6,115126,5,15197,13 mins,13,5118,7 mins,7,1017,49.05442,-122.38144,STN 205 ABBOTSFORD-MT LEHMAN,Abbotsford,5211,9 mins,9,1246,49.054629,-122.33035,ABBOTSFORD FIRE DEPT HALL 1,Abbotsford,5258,9 mins,9,1886,49.053573,-122.33044,ABBOTSFORD,Abbotsford,0,6,4,4,16,6,8,31,28,1,22,10,23,59,72
